Customer,State,Customer Lifetime Value,Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Month,Day Of Week
BU79786,Washington,2763.519279,No,0,Bachelor,,F,56274,1,Married,69,32,5,0,1,Corporate Auto,Corporate L3,Offer1,Agent,384.811147,Two-Door Car,1,2,3
AI49188,Nevada,12887.43165,No,2,Bachelor,,F,48767,1,Married,108,18,38,0,2,Personal Auto,Personal L3,Offer1,Agent,566.472247,Two-Door Car,1,2,5
WW63253,California,7645.861827,No,0,Bachelor,,M,0,1,Married,106,18,65,0,7,Corporate Auto,Corporate L2,Offer1,Call Center,529.881344,SUV,1,1,3
HB64268,Washington,2813.692575,No,0,Bachelor,,M,43836,2,Single,73,12,44,0,1,Personal Auto,Personal L1,Offer1,Agent,138.130879,Four-Door Car,1,2,3
OC83172,Oregon,8256.2978,Yes,0,Bachelor,,F,62902,2,Married,69,14,94,0,2,Personal Auto,Personal L3,Offer2,Web,159.383042,Two-Door Car,1,1,1
XZ87318,Oregon,5380.898636,Yes,0,College,,F,55350,1,Married,67,0,13,0,9,Corporate Auto,Corporate L3,Offer1,Agent,321.6,Four-Door Car,1,2,3
CF85061,Arizona,7216.100311,No,2,Master,,M,0,0,Single,101,0,68,0,4,Corporate Auto,Corporate L3,Offer1,Agent,363.02968,Four-Door Car,1,1,1
BQ94931,Oregon,7388.178085,No,1,College,,F,28812,0,Married,93,17,7,0,8,Special Auto,Special L2,Offer2,Branch,425.527834,Four-Door Car,1,2,3
SX51350,California,4738.992022,No,0,College,,M,0,1,Single,67,23,5,0,3,Personal Auto,Personal L3,Offer1,Agent,482.4,Four-Door Car,0,2,0
VQ65197,California,8197.197078,No,0,College,,F,0,1,Married,110,27,87,0,3,Personal Auto,Personal L3,Offer2,Agent,528.0,SUV,1,1,3
DP39365,California,8798.797003,No,2,Master,,M,77026,0,Married,110,9,82,2,3,Corporate Auto,Corporate L1,Offer2,Agent,472.029737,Four-Door Car,1,2,6
SJ95423,Arizona,8819.018934,Yes,0,High School or Below,,M,99845,1,Married,110,23,25,1,8,Corporate Auto,Corporate L3,Offer2,Branch,528.0,SUV,1,1,0
IL66569,California,5384.431665,No,0,College,,M,83689,0,Single,70,21,10,2,8,Corporate Auto,Corporate L3,Offer4,Call Center,307.139132,Four-Door Car,1,1,1
BW63560,Oregon,7463.139377,No,0,Bachelor,,F,24599,2,Married,64,12,50,1,2,Corporate Auto,Corporate L2,Offer2,Branch,42.920271,Four-Door Car,1,1,0
FV94802,Nevada,2566.867823,No,0,High School or Below,,M,25049,1,Married,67,14,7,0,1,Personal Auto,Personal L3,Offer2,Call Center,454.245098,Two-Door Car,1,2,6
OE15005,California,3945.241604,No,0,College,,M,28855,1,Married,101,12,59,0,1,Personal Auto,Personal L2,Offer3,Call Center,647.442031,SUV,1,1,2
WC83389,Oregon,5710.333115,No,0,College,,M,51148,0,Married,72,9,1,0,7,Personal Auto,Personal L2,Offer2,Branch,308.981664,Four-Door Car,1,2,6
FL50705,California,8162.617053,No,2,High School or Below,,F,66140,1,Married,101,11,21,0,3,Corporate Auto,Corporate L2,Offer1,Call Center,484.8,Four-Door Car,0,1,4
